Date,Close
30-Jul-19,"3,013.18"
29-Jul-19,"3,020.97"
26-Jul-19,"3,025.86"
25-Jul-19,"3,003.67"
24-Jul-19,"3,019.56"
23-Jul-19,"3,005.47"
22-Jul-19,"2,985.03"
19-Jul-19,"2,976.61"
18-Jul-19,"2,995.11"
17-Jul-19,"2,984.42"
16-Jul-19,"3,004.04"
15-Jul-19,"3,014.30"
12-Jul-19,"3,013.77"
11-Jul-19,"2,999.91"
10-Jul-19,"2,993.07"
9-Jul-19,"2,979.63"
8-Jul-19,"2,975.95"
5-Jul-19,"2,990.41"
3-Jul-19,"2,995.82"
2-Jul-19,"2,973.01"
1-Jul-19,"2,964.33"
28-Jun-19,"2,941.76"
27-Jun-19,"2,924.92"
26-Jun-19,"2,913.78"
25-Jun-19,"2,917.38"
24-Jun-19,"2,945.35"
21-Jun-19,"2,950.46"
20-Jun-19,"2,954.18"
19-Jun-19,"2,926.46"
18-Jun-19,"2,917.75"
17-Jun-19,"2,889.67"
14-Jun-19,"2,886.98"
13-Jun-19,"2,891.64"
12-Jun-19,"2,879.84"
11-Jun-19,"2,885.72"
10-Jun-19,"2,886.73"
7-Jun-19,"2,873.34"
6-Jun-19,"2,843.49"
5-Jun-19,"2,826.15"
4-Jun-19,"2,803.27"
3-Jun-19,"2,744.45"
31-May-19,"2,752.06"
30-May-19,"2,788.86"
29-May-19,"2,783.02"
28-May-19,"2,802.39"
24-May-19,"2,826.06"
23-May-19,"2,822.24"
22-May-19,"2,856.27"
21-May-19,"2,864.36"
20-May-19,"2,840.23"
17-May-19,"2,859.53"
16-May-19,"2,876.32"
15-May-19,"2,850.96"
14-May-19,"2,834.41"
13-May-19,"2,811.87"
10-May-19,"2,881.40"
9-May-19,"2,870.72"
8-May-19,"2,879.42"
7-May-19,"2,884.05"
6-May-19,"2,932.47"
3-May-19,"2,945.64"
2-May-19,"2,917.52"
1-May-19,"2,923.73"
30-Apr-19,"2,945.83"
29-Apr-19,"2,943.03"
26-Apr-19,"2,939.88"
25-Apr-19,"2,926.17"
24-Apr-19,"2,927.25"
23-Apr-19,"2,933.68"
22-Apr-19,"2,907.97"
18-Apr-19,"2,905.03"
17-Apr-19,"2,900.45"
16-Apr-19,"2,907.06"
15-Apr-19,"2,905.58"
12-Apr-19,"2,907.41"
11-Apr-19,"2,888.32"
10-Apr-19,"2,888.21"
9-Apr-19,"2,878.20"
8-Apr-19,"2,895.77"
5-Apr-19,"2,892.74"
4-Apr-19,"2,879.39"
3-Apr-19,"2,873.40"
2-Apr-19,"2,867.24"
1-Apr-19,"2,867.19"
29-Mar-19,"2,834.40"
28-Mar-19,"2,815.44"
27-Mar-19,"2,805.37"
26-Mar-19,"2,818.46"
25-Mar-19,"2,798.36"
22-Mar-19,"2,800.71"
21-Mar-19,"2,854.88"
20-Mar-19,"2,824.23"
19-Mar-19,"2,832.57"
18-Mar-19,"2,832.94"
15-Mar-19,"2,822.48"
14-Mar-19,"2,808.48"
13-Mar-19,"2,810.92"
12-Mar-19,"2,791.52"
11-Mar-19,"2,783.30"
8-Mar-19,"2,743.07"
7-Mar-19,"2,748.93"
6-Mar-19,"2,771.45"
5-Mar-19,"2,789.65"
4-Mar-19,"2,792.81"
1-Mar-19,"2,803.69"
28-Feb-19,"2,784.49"
27-Feb-19,"2,792.38"
26-Feb-19,"2,793.90"
25-Feb-19,"2,796.11"
22-Feb-19,"2,792.67"
21-Feb-19,"2,774.88"
20-Feb-19,"2,784.70"
19-Feb-19,"2,779.76"
15-Feb-19,"2,775.60"
14-Feb-19,"2,745.73"
13-Feb-19,"2,753.03"
12-Feb-19,"2,744.73"
11-Feb-19,"2,709.80"
8-Feb-19,"2,707.88"
